year,Team,college,PLAYER,player_height,player_weight,Pos_x,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FGMI,FG3MI,FTMI,fg_production,fg3_production,ft_production,ancillary_production,shooting_production,total_production,fg_efficiency,fg3_efficiency,ft_efficiency
2020,Milwaukee Bucks,UCLA,Jrue Holiday,190.5,92.98636,PG,59,1907,414,823,0.503,111,283,0.392,107,136,0.787,73,195,268,357,96,37,127,98,1046,409,172,29,10,-183,78,172.6,-95,77.6,0.503037667071689,0.392226148409894,0.7867647058823529
2020,Chicago Bulls,North Carolina,Coby White,195.58,88.45044,PG,69,2156,375,902,0.416,163,454,0.359,128,142,0.901,28,256,284,328,38,15,156,179,1041,527,291,14,-304,-384,114,99.55,-574,-474.45,0.4157427937915743,0.3590308370044053,0.9014084507042254
2020,Toronto Raptors,Wichita State,Fred VanVleet,185.42,89.357624,SG,52,1899,338,870,0.389,174,476,0.366,169,191,0.885,32,188,220,328,87,37,95,119,1019,532,302,22,-388,-384,147,153.55,-625,-471.45,0.38850574712643676,0.36554621848739494,0.8848167539267016
2020,Denver Nuggets,Kentucky,Jamal Murray,190.5,97.52228,PG,48,1704,378,792,0.477,129,316,0.408,133,153,0.869,37,157,194,231,64,13,108,95,1018,414,187,20,-72,-174,113,95.25,-133,-37.75,0.4772727272727273,0.40822784810126583,0.869281045751634
2020,Utah Jazz,,Rudy Gobert,215.9,117.026736,C,71,2187,391,579,0.675,0,4,0.0,233,374,0.623,240,720,960,89,40,190,118,163,1015,188,4,141,406,-12,92,370.1,486,856.1,0.6753022452504318,0.0,0.6229946524064172
2020,Phoenix Suns,Arizona,Deandre Ayton,210.82,113.398,C,69,2115,430,687,0.626,4,20,0.2,133,173,0.769,228,499,727,99,41,81,103,196,997,257,16,40,346,-36,93,263.2,403,666.2,0.6259097525473072,0.2,0.7687861271676301
2020,Brooklyn Nets,Virginia,Joe Harris,198.12,99.79024,SF,69,2142,357,707,0.505,211,444,0.475,49,63,0.778,43,205,248,130,46,14,62,141,974,350,233,14,14,-66,35,97.2,-17,80.2,0.504950495049505,0.4752252252252252,0.7777777777777778
2020,Phoenix Suns,Villanova,Mikal Bridges,198.12,94.800728,SF,72,2348,363,669,0.543,134,315,0.425,110,131,0.84,76,233,309,152,76,63,57,116,970,306,181,21,114,-141,89,169.45,62,231.45,0.5426008968609866,0.4253968253968254,0.8396946564885496
2020,Atlanta Hawks,,Clint Capela,208.28,108.86208,C,63,1898,413,695,0.594,0,0,0.0,130,227,0.573,297,606,903,49,44,129,73,145,956,282,0,97,262,0,33,355.0,295,650.0,0.5942446043165468,,0.5726872246696035
2020,Indiana Pacers,Michigan,Caris LeVert,198.12,92.98636,SG,47,1485,359,814,0.441,84,258,0.326,146,180,0.811,33,181,214,245,66,30,102,105,948,455,174,34,-192,-270,112,114.75,-350,-235.25,0.44103194103194104,0.32558139534883723,0.8111111111111111
2020,Indiana Pacers,Michigan,Caris LeVert,198.12,92.98636,SG,47,1485,359,814,0.441,84,258,0.326,146,180,0.811,33,181,214,245,66,30,102,105,948,455,174,34,-192,-270,112,114.75,-350,-235.25,0.44103194103194104,0.32558139534883723,0.8111111111111111
2020,Indiana Pacers,Michigan,Caris LeVert,198.12,92.98636,SG,47,1485,359,814,0.441,84,258,0.326,146,180,0.811,33,181,214,245,66,30,102,105,948,455,174,34,-192,-270,112,114.75,-350,-235.25,0.44103194103194104,0.32558139534883723,0.8111111111111111
2020,Indiana Pacers,Michigan,Caris LeVert,198.12,92.98636,SG,47,1485,359,814,0.441,84,258,0.326,146,180,0.811,33,181,214,245,66,30,102,105,948,455,174,34,-192,-270,112,114.75,-350,-235.25,0.44103194103194104,0.32558139534883723,0.8111111111111111
